dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
esdc,daisi,Tell Us Once Direct Address Information Sharing Initiative,"Tell-Us- nee- lrect pas tan d ress nformal!on haring Initiative (DAI I) The ability of Canadians providing the GC their change of address and direct deposit information once, for all departments, represenls the most requested service improvement Identified through discussions of interdepartmental service collaboration. The proposed investment would take a critical first step towards this goal by establishing two-way exchange of !his inlonna!ion between the two largest federal departments, CRA",8508646,2019-07-24,8555-421-2460,"May 1, 2019",170
esdc,tfwp,Temporary Foreign Worker System and Webservice Enhancements,"Temporary Foreign Worker (TFW) System and Webservice Enhancements 2.0 - To provide required updates for the TFW Program's t o main web applications: TFW System - the administrative backbone of the program; and.TFW Web service
 - the publicly accessible online web-application.",6321677,2017-03-31,8555-421-266,"June 9, 2016",67
esdc,tfwp,Temporary Foreign Worker System and Webservice Enhancements,"Temporary Foreign Worker System and Webservlce Enhancements 2.0 The project
will provide updates required for the Temporary Foreign Worker Program's (TFWP) two
main web applications: the Temporary Foreign Worker (TFW) System the
administrative backbone of the program; and TFW Web service - lhe publicly accessible",10053883,2021-04-15,8555-421-2460,"May 1, 2019",164
esdc,,Temporary Foreign Worker System and Webservice Enhancements 2,"The project will update the Temporary Foreign Worker Program’s Labour Market Impact Assessment (LMIA) service delivery systems to implement a number of reforms announced by the Government of Canada, and to modernize the systems to reflect the resulting operational realities.",10763795,2022-05-09,8530-441-13-505,"April 25, 2022",185
esdc,,Wave 2 Contact Centre Migrations,"This project will migrate five end-of-life and end-of-support call centres and one stand-alone Interactive Voice Response application to a modern, supported contact centre platform. This migration will improve client experience and eliminate the operational security risks associated with residing on Windows 2003 servers.",3775619,2022-09-12,8530-441-13-505,"April 25, 2022",186
esdc,dsr,Windows 10 Desktop Software Refresh,Desktop Software Refresh Replace the Windows 7 Operating Systems with Windows 10. The ro'ect will need to wo wi h I leme t across ESDC.,10821399,2020-02-21,8555-421-2460,"May 1, 2019",173
esdc,,Windows 2008 Upgrade,"The Windows 8 OS has reached end of life, and Windows 2008 Servers must be updated in accordance with TBS requirements. SSC will provide replacement servers, while ESDC will perform the tests and deployment of the solutions. As of December 19, 2020, ESDC has authorisation to maintain its Windows 2008 servers until December 2022, to complete the upgrade process.",3531894,2023-02-06,8530-441-13-505,"April 25, 2022",187
esdc,,Workload Migration and Cloud Enablement,This project will migrate applications currently residing in the Montréal and/or Moncton legacy data centres to a Cloud environment.,8868908,2025-10-23,8530-441-13-505,"April 25, 2022",188
esdc,,Youth Digital Gateway,"Responding to Budget 2019 commitments to new investments in the development and delivery of digital services to youth, this project will establish a new Youth Digital Gateway (YDG) as a hub for youth employment skills, learning, and service. ESDC will work directly with youth to co-design and co-create this enhanced digital experience.",22899208,2025-03-26,8530-441-13-505,"April 25, 2022",189
esdc,,Youth Employment and Skills Strategy Data Collection System (YESS DCS),"This project will establish a new data collection tool to ensure that ESDC meets policy objectives and reporting obligations under the modernised YESS. This five-year investment will allow YESS to collect and store data from eleven federal delivery partners, and conduct robust analysis to inform policy and program decisions.",6217962,2024-12-23,8530-441-13-505,"April 25, 2022",190
feddev,gcpm,Government of Canada Program Management (GCPM) for Regional Development Agencies,"Government of Canada Program Management (GCPM): The design and build of a common, modern, and client-centric IM/IT system to support online delivery of the Regional Development Agencies' grants and contribution mandate. The proposed system would replace the agencies' inefficient and obsolete systems, offering various levels of automation and using a combination of applications.",1424912,2019-03-31,8555-421-266,"June 9, 2016",189
fednor,,Implementation of a grants and contributions program administration solution.,"The solution will digitize the entire project life cycle and feature a secure, online portal where clients can apply for grants and contribution programs.  The main drivers for adopting this solution are client service, digital transformation and efficiency in program administration.  The solution will replace aging technology, increase security, increase process efficiencies and contribute to better risk management.",3374901,2022-12-31,8530-441-13-505,"April 25, 2022",194
fin,,"M365 Implementation Project, Phase 2","(i) The M365 Phase 2 project will expand the adoption of the M365 cloud-based productivity and collaboration platform through the implementation of an Electronic Document and Record Management System (for the automated retention and disposition of electronic records) based on SharePoint Online, Teams - all features, Office 365 and OneDrive. Phase 2 also includes the migration of content from the current on-site SharePoint 2016 environment to SharePoint Online, and increased capability for internal and external collaboration.",1622000,2023-09-30,8530-441-13-505,"April 25, 2022",195
gac,,"""ccmMercury"" Replacement and Modernization","""ccmMercury"" replacement will impact a large set of business capabilities currently related to different services delivered by multiple branches at Global Affairs Canada. The future solution could be extended to more service and stakeholders, having a larger enterprise implication.",2304600,2024-03-31,8530-441-13-505,"April 25, 2022",217
gac,,"""ECHO"" - A Client Relationship Management tool for the Foreign, Policy and Diplomacy Services",The Mission Support division requests a client relationship management solution for Foreign Policy and Diplomacy Services using a Client Relationship Management tool.,1953000,2023-03-31,8530-441-13-505,"April 25, 2022",209
gac,abw,Activity-Based Workplace Implementation,"Activity-Based Workplace (ABW) Implementation - This project is intended to jointly analyse the options, plan, and implement improvements to the GAC videoconference systems and features to accommodate new work paradigms in headquarters such as teleworking and activity based working, and as well improve performance and mobility in missions and in the field. It will examine a global cloud services as an option and develop a coherent roadmap for videoconferencing applications, access, and end points The project will amalgamate and select and implement technologies aligned with the Shared Services Canada target architecture and roadmap.",16923536,2027-03-31,8555-421-2460,"May 1, 2019",216
gac,,Apostille Solution,The proposed system would meet Apostille Convention’s requirement to maintain a register of certificates and would provide a simplified system which can be used to verify both the signature and the capacity of Canadian public officials as required by the Convention.,1741400,2023-03-31,8530-441-13-505,"April 25, 2022",211
gac,,Application Modernization (App-Mod) Programme,"Modernize Global Affairs Canada Applications, Servers, and related infrastructure to enhance application services through new technologies, reduce technical debt, and further improve the client service experience prior to the Shared Services of Canada closure of the legacy data centres.",6040000,2024-03-31,8530-441-13-505,"April 25, 2022",221
gac,,Canadian Ombudsperson for Responsible Enterprise (CORE) eCRM Project,The Canadian Ombudsperson for Responsible Enterprise Project is developing and implementing an electronic case management system to support the operations and attainment of its business goals.,1876954,2022-09-20,8530-441-13-505,"April 25, 2022",204
gac,cess,Chancery Electronic Security Systems,"Chancery Electronic Securlty Systems:
 The objective of this project is to install new electronic access systems to replace the original system, first deployed in 1993, at Canada's missions abroad which will enable the safety, security and protection of people, property and assets at Canada missions abroad. This system renewal is necessary as the existing systems are nearing the end of their effective life span as a result of changing threat conditions, outdated technology and revised operational
 requirements.",30100000,2017-03-31,8555-421-266,"June 9, 2016",108
gac,cppm,Clarity Projct Portolio Management Tool,"Clarity Project Portfolio Management Tool - The purpose of this initiative is to implement the Clarity Project Portfolio Management (CA PPM} tool to automate IT project tracking and reporting. It will improve accountability, efficiency and delivery of IT projects to clients by supporting better portfolio, project and resource management",1700000,2021-03-31,8555-421-2460,"May 1, 2019",217
gac,,Client Experience Management Program,Developing the practice of digital experience management which includes monitoring and reacting to incidents with infrastructure and client devices within the Information Management and Information Technology Bureau.,1400000,2024-10-24,8530-441-13-505,"April 25, 2022",220
gac,,Cloud Cyber Analytics Platform,"As Global Affairs Canada migrates applications into the Cloud, there is a significant need to ensure those systems are protected from a cyber security perspective.  Given the international presence, unique threats need to be considered - and solutions need to be deployed in order to manage those threats.",2700000,2024-03-31,8530-441-13-505,"April 25, 2022",218
gac,cosmos,Consular Management Operating System (COSMOS) Replacement,"Replacement of COSMOS legacy System - The Consular and Emergency Management Program is anchored by the COSMOS (Consular Management Operating System) mission-critical system, which was introduced to GAC in 1995 and is used by 1770 users in headquarters and at missions abroad including Honorary Consuls. The system supports consular case management, passport delivery, registration of Canadians abroad, and crisis management of affected persons among other capabilities., Although the system has been maintained throughout its life, it is now 20 years old and requires replacement.",8471695,2021-11-05,8555-421-2460,"May 1, 2019",214
gac,,"Data and Analytics Platform Modernization (""PowerBI"", Azure Data Analytics and Artificial Intelligence)",The Data and analytics platform modernization project seeks to implement data analytics tool that will be used to enable business intelligence and data driven decision making within the Department.,1727868,2023-03-31,8530-441-13-505,"April 25, 2022",210
gac,,Departmental Process Optimization and Delivery: Modus Re-Design,"Modus hosts the business processes and related tools that GAC employees need to do their work and to stay informed of departmental practices. The Modus Redesign Project’s purpose is to identify, develop and implement a new iteration of Modus that can better deliver on Departmental and Information Management/Information Technology priorities, and support the future of work.",1078316,2022-10-31,8530-441-13-505,"April 25, 2022",205
gac,,Desktop Modernization,The project is to modernize desktop technologies to facilitate working from anywhere at any time.,3086500,2024-03-31,8530-441-13-505,"April 25, 2022",213
gac,,ECRM3 (Trade Commissioner Service Electronic Client Relationship Management Solution),"The Canadian Trade Commissioner Service System and Analysis Division is requesting a Client Relationship Management tool to replace the current system called ""TRIO2"".",14929698,2023-04-30,8530-441-13-505,"April 25, 2022",212
gac,,"EDMSP Cloud with Digital Marketing, & Enhanced Search with Chatbot","The intent of the EduCanada Digital Marketing Scholarships Platform (EDMSP) Cloud and Marketing Product solution is to digitally enhance and transform the online business functionalities of the International Education Division, as it relates to scholarship programs administrative management and marketing.",3000000,2023-01-31,8530-441-13-505,"April 25, 2022",206
gac,,Endpoint Security & Cyber Tech Roadmap,system.The 2018 Audit of IT Security: Threat and Vulnerability Management and 2019 Cyber Security Program gap analysis reinforced the need for collection and security monitoring of logs in support of IT security threat and incident management.,1324000,2022-08-31,8530-441-13-505,"April 25, 2022",203
gac,eics,Export Import Control System,"Export Import Control System (EICS): Functionality to address legal obligations and business/client process improyements:
 The objective for this project is to allow Global Affairs Canada to deliver on its
 legal obligations with regards to implementing the Arms Trade Treaty and Canada-EU Comprehensive Economic and Trade Agreement as well as its obligation under the Beyond the Border Action Plan.",2000000,2019-03-31,8555-421-266,"June 9, 2016",110
gac,eics-2,Export Import Control System Application,"IExport Import control System App11cat1on renewal:
 This project will replace the existing dated technology implemented in 2003 and 2006, which is used by the department to meet its responsibilities under the Export and Import Permits Act ..This project will ensure that Global Affairs Canada can deliver on its mandate to contribute to advanced Canadian
 economic prosperity.",33570000,2017-02-28,8555-421-266,"June 9, 2016",109
gac,eics-2,Export Import Control System Application,"EICS II Renewal - GAC relies on two mission critical IT web applications to process import and export documentation for over 3000 businesses and individuals in Canada, EICS and EXCOL These two systems are at end-of-life and need to be replaced in order to ensure that GAC can deliver on its mandate under the Export and Import Permits Act (EIPA).",88827495,2020-04-30,8555-421-2460,"May 1, 2019",212
gac,,Export Import Controls System (EICS) II - Application Renewal,The Export Import Controls System (EICS) II project will replace the legacy EICS with a new commercial off-the-shelf system and upgrade the existing legacy Export Control Online (EXCOL),134300000.78,2022-06-30,8530-441-13-505,"April 25, 2022",202
gac,,Forms Conversion,"Provide digital and Information Management solutions and services that enable Global Affairs Canada employees to manage and use information, collaborate virtually, and become a digital & paperless organization.",2035372,2024-01-24,8530-441-13-505,"April 25, 2022",214
gac,gcdocs,GCdocs,"GcDocs Regional and International Solution:
 GCDOCS is the official ·enterprise document and records management (EDRMS) solution for the Government of Canada. The project is the implementation of the document management system for Global Affairs Canada which takes into account the department's unique international operating environment. Two corporate information system, approximately 15
 years old, are to be replaced to efficiently and cost-effectively comply with recordkeeping best practices.",10800000,2019-03-31,8555-421-266,"June 9, 2016",111
gac,gsnup,Global Secure Network Upgrade Project,"Global secure network upgrade project:
 The objective of this project is to upgrade the current generation of Global Affairs Canada's global secure network which is reaching obsolescence, the components of which are at least 9 years old with some being 12 years old. This will also ensure that classified secure communication among employees at headquarters and missions abroad is reliable and secure.",2900000,2018-03-31,8555-421-266,"June 9, 2016",114
gac,,Grants & Contributions Transformation Programme,"The transformation opportunity is to streamline Grants & Contributions administration, improve service to partners, support innovative approaches to program delivery and provide better information for decision-making and story-telling.",13219000,2024-10-24,8530-441-13-505,"April 25, 2022",223
gac,,Grants and Contributions Portfolio 2019/20  - CanExport Communities Investment,A business decision has been taken to consolidate Grants and Contributions management in the Department around a single process and system.  This project is key in finalizing the nondevelopment corporate Grants and Contributions.,3510000,2022-05-31,8530-441-13-505,"April 25, 2022",200
gac,,Grants and Contributions Risk Management Tool (Restarted Project),"This project is to deliver a comprehensive risk management tool using MS Dynamics to manage all risks related to the recipient, the project or the funding for all Grants and Contributions projects.",4555973.67,2024-03-29,8530-441-13-505,"April 25, 2022",215
gac,,Human Resource Management System (HRMS) Upgrade to version 9.2,"Global Affairs Canada is currently operating with PeopleSoft Human Resource Management System version 8.9, which is no longer supported by Oracle. Therefore, the department is looking at upgrading its system to version 9.2.",4700000,2024-03-31,8530-441-13-505,"April 25, 2022",219
gac,,"Information Management (IM) in ""Signet E""","The Information Management (IM) in ""SIGNET E"" project aims to modernize Global Affairs Canada's record management solution to manage regulatory, legal and business-critical records across Global Affairs Canada's corporate data.",2230110,2024-06-28,8530-441-13-505,"April 25, 2022",222
gac,,Information Management and Information Technology Bureau Technical Learning Centre,The objective of this project is to provide a centre for learning and development for the Information management and information technology bureau.,2250000,2024-03-31,8530-441-13-505,"April 25, 2022",216
gac,,Information Technology Service Management (ITSM) upgrade to version 20.02,Upgrade the Information Technology Service Management (ITSM) system to version 20.02 to bring Remedy up to a vendor-supported level and to enable future enhancements such as chatbots. Provide a vendor supported foundation for the continued modernization and enhancement of the Information Technology Service Management product.,2144000,2022-06-16,8530-441-13-505,"April 25, 2022",201
gac,les-pay-benefits,"Locally Engaged Staff Payroll, Pension, and Benefits Global Rollout","Locally Engaged Staff Payroll, Pension and Benefits Global Rollout:
 The implementation of a single enterprise-wide IT solution for LES will greatly improve the department's ability to effectively manage its LES payroll, pension and benefits function for 177 missions in 107 countries and support Canada's international priorities. A single solution will also substantially increase the effectiveness and efficiency of budget planning, expenditure reporting and oversight at the corporate level.",25000000,2020-03-31,8555-421-266,"June 9, 2016",112
gac,ioacs,Next Generation IDACS,"Next Generation IOACS - The Next Generation IDACS security system project consists of security software, hardware and equipment designed and procured by Global Affairs Canada as part of the Chancery Electronic Security System (CESS) !DACS upgrade in missions abroad between 2012 and 2018. The Domestic Security Unit is tasked with the implementation of the Next Generation IDACS system in all Global Affairs Canada facilities in the National Capital Region and all Regional Offices across Canada.",3500000,2021-03-31,8555-421-2460,"May 1, 2019",213
gac,,"Next Generation International Secure Communications (Voice, Video, Mobile, Conference)","This initiative will improve existing secure voice capabilities while identifying, and testing a next generation secure voice solution to headquarters and missions.",4612032,2022-03-31,8530-441-13-505,"April 25, 2022",199
gac,sap-merge,SAP Merge,"SAP Merge:
 Global Affairs Canada currently has two financial systems due _to the merger between the former CIDA and DFAIT. In order to reduce the operational costs of financial management systems, and leverage efficiencies from the standardization of business.processes, the department will be consolidating
 these two systems. This will also allow for more efficient and modernized and
 h<> ""--- ;.,,1  ,.inn",1300000,2017-03-31,8555-421-266,"June 9, 2016",113
gac,wifi,SIGNET WiFi Deployment,WiFi Deployment - The purpose of this initiative is to extend the existing SIGNET Wi-Fi platform to all Global Affairs Canada National Capital Region locations and at international sites operating under MITNET it involves hardware and infrastructure work from Shared Services Canada and Global Affairs Canada,4250000,2021-03-31,8555-421-2460,"May 1, 2019",218
gac,,Smartphone Roll-out to High Threat Areas,The purpose of this initiative is to develop and deploy a smartphone mobile device management solution that meets security requirements for high threat missions.,1425000,2023-03-31,8530-441-13-505,"April 25, 2022",207
gac,tc-crms,Trade Commissioner Service Electronic Client Relationship Management Solution,"Trade Commissioner Se!'Vice Electronic Client Relationship Management Solution - The Client Relationship Management tool will replace TRI02 which is the current Trade Commissioner client relationship management tool The solution will facilitate the needs of the Trade Commissioner Service to manage and share information on clients and contacts, track and measure activities and key performance indicators and integrate with existing business tools.",7750000,2020-12-15,8555-421-2460,"May 1, 2019",215
gac,,Virtual Mission Model Enterprise Solution,The acceleration of return to office activities creates an urgent and immediate demand for networking service upgrades at missions to ensure that international employees are able to continue to collaborate and work effectively with now-common Microsoft 365/MS Teams application.,6062278,2023-03-31,8530-441-13-505,"April 25, 2022",208
hc,,Automation of Business Process - Robotic Processing Automation (RPA) (planned),"This project seeks to automate and optimize business processes by reducing the manual data entry process through Robotic Processing Automation (RPA) capability, while assuring data accuracy, reduction in employee workload, and increase in quality, resulting in timely and accurate information for our employees and Canadians.",1100000,2025-03-31,8530-441-13-505,"April 25, 2022",248
hc,bm,Border Modernization,"Border Modernization (IP 701)
 Provide a new IT solution for HC Programs to modernize their business by providing the required tools to deliver on its mandate, enhance business intelligence and
 reportinq, and make better, informed decisions reqardinq products at the border.",2202917,2021-09-30,8555-421-2460,"May 1, 2019",239
hc,,Cannabis Personal Registration System (planned),"This project is to implement a fully functioning electronic system where Canadians can submit applications for the personal registration program entirely online, and where Health Canada can issue registration decisions (issuance of certificates or refusals) electronically.",9100000,2026-03-31,8530-441-13-505,"April 25, 2022",236
hc,,Cannabis Tracking and Licensing System,"Enable the on-line submission of applications and management of related processes (e.g., licences, security clearances and inspections, complaint management, and recalls).",14500000,2022-09-30,8530-441-13-505,"April 25, 2022",231
hc,,Cannabis Tracking and Licensing System Release 5 and 6 (planned),This project is to include additional functionality and enhancements to the existing cannabis tracking and licensing system (CTLS).,6600000,2024-03-31,8530-441-13-505,"April 25, 2022",237
hc,cms-cannabis,Case Management Solution for Cannabis,"Case Management Solution for the Cannabis (IP 631)
 Enable the on-line submission of applications and management of related processes
 (e.g., licences, security clearances and inspections, complaint management, and recalls).",11163729,2021-03-31,8555-421-2460,"May 1, 2019",232
hc,,Clinical Trials IT Modernization (planned),This initiative seeks to support new regulations for harmonized clinical trial submission and review processes across product lines,1300000,2025-03-31,8530-441-13-505,"April 25, 2022",245
hc,,Cloud computing migration (planned),Infrastructure-based project to migrate and expand usage of cloud-based applications from on-prem,1500000,2027-03-31,8530-441-13-505,"April 25, 2022",247
hc,,Common Submission Intake,"Modernizing and streamlining the way in which information is received, managed and tracked through a common intake process to increase efficiency in informed decision-making related to health and safety.",16300000,2023-03-31,8530-441-13-505,"April 25, 2022",228
hc,csi,Common Submission Intake,"Common Submission Intake
 This project will provide a single window for receiving stakeholders' submissions, thereby eliminating multiple aging systems, manual data entry and manual validation, enabling international data sharing (via the U.S. FDA gateway), enabling data sharing and integration with Canadian healthcare system, and reducing processing time
 to imorove Canadians' access to consumer products.",8300000,2019-03-31,8555-421-266,"June 9, 2016",127
hc,csi,Common Submission Intake,"Common Submission Intake (IP 400)
 Modernizing and streamlining the way in which information is received, managed and tracked through a common intake process to increase efficiency in informed decision- makinq related to health and safetv.",14893000,2020-03-31,8555-421-2460,"May 1, 2019",222
hc,,Controlled Substances and Precursor System,"The development of a new Constrolled Substance solution will replace the current manual tools and legacy systems used, better integrate data, improve operational efficiencies, and allow for reporting.",12100000,2022-09-30,8530-441-13-505,"April 25, 2022",225
hc,csrs,Controlled Substances Regulatory System,"Controlled Substances and Precursor System (CSPS)
 This will implement a single solution to replace a number of aging systems relating to controlled substances, improving efficiency and reducing maintenance costs.",4600000,2019-03-31,8555-421-266,"June 9, 2016",116
hc,csrs,Controlled Substances Regulatory System,"Controlled Substances Regulatory System (IP 119)
 The development of a new Constrolled Substance solution will replace the current
 manual tools and legacy systems used, better integrate data, improve operational efficiencies and allow for reportino.",11705730,2021-03-31,8555-421-2460,"May 1, 2019",220
hc,,Data Hub (planned),This project will establish the Health Products and Food Branch (HPFB) data governance and science technical architecture necessary to enable opportunities for innovation and experimentation within the branch.,1700000,2025-03-31,8530-441-13-505,"April 25, 2022",241
hc,,Dosimetry,"The objective of this project is to deliver a modern, centrally-supported and cost-effective workflow and data management system for the National Dosimetry Services Division. Health Canada is required to provide emergency dosimetry services as part of the Federal Nuclear Emergency Plan.",3700000,2024-03-31,8530-441-13-505,"April 25, 2022",224
hc,,Drug Analysis Service (DAS) IT Modernization,Provide DAS laboratories with a complete IT solution from intake to issuance of the Certificate of Analyst.,1600000,2024-03-31,8530-441-13-505,"April 25, 2022",234
hc,das-modernization,Drug Analysis Service IT Modernization,"Drug Analysis Service (OAS) IT Modernization (IP 705)
 Provide DAS laboratories with a complete IT solution from intake to issuance of the Certificate of Analyst.",1902000,2021-03-31,8555-421-2460,"May 1, 2019",240
hc,drug-shortages,Drug Shortages Enhancement,"Drug Shortages
 This project is to update the current information technology (drugshortages.ca) and provide enhanced capability in order to permit compliance with commitments for voluntary public notification of potential and actual drug shortages by Canadian drug companies (manufacturers and importers).",1400000,2017-03-31,8555-421-266,"June 9, 2016",132
hc,dhpr-2,Drugs and Health Product Register Release 2,"Drugs and Health Product Register - Release 2
 This brings together and organises health product information supporting the Health.Canada website, improving site navigation/sear h and reducing maintenance costs. It also broadens the audience to include Health Practitioners and Researchers.",2000000,2017-03-31,8555-421-266,"June 9, 2016",134
hc,dhpr-3,Drugs and Health Product Register Release 3,"Drug and Health Product Register - Release 3 (IP 602)
 Project will contribute to the provision of the latest information on important health and safetv issues to Canadians.",2000000,2020-03-31,8555-421-2460,"May 1, 2019",226
hc,eprwe,e-Prescribing Real World Evidence,"e-Prescribing Real World Evidence (IP 604)
 Project will allow for improved access to therapeutic products (drugs & medical devices) and modernize Canada's Pharmaceuticals manaoement.",3690000,2020-03-31,8555-421-2460,"May 1, 2019",228
hc,eprs-modernization,e-PRS (Pesticide Regulatory System) Modernization,"e-PRS Modernisation
 This will.modernize the electronic pesticide regulatory system, an integrated end to end case management solution that manages the records, documents, and workflow related to the regulation of pesticides in Canada. It will imorove ooerational efficiency and reduce onQoinQ maintenance costs.",3300000,2018-03-31,8555-421-266,"June 9, 2016",128
hc,eprs-modernization,e-PRS (Pesticide Regulatory System) Modernization,"e-PRS Modernisation (IP 407)
 A new multi-year investment plan project to modernize the entire Electronic Pesticide Reaulatorv Svstem (e-PRS).",3434816,2020-12-31,8555-421-2460,"May 1, 2019",234
hc,edt,eDiscovery Toolkit,"eDiscovery Toolkit (IP 706)
 Support electronically-stored information (ESI) required to respond to litigation, criminal investigation, regulatory enquiry, internal investigation, as part of a regulatory compliance disclosure, or to ATIPs, by reducing the number of irrelevant and non- responsive documents that need to be reviewed manuallv.",1904280,2021-03-31,8555-421-2460,"May 1, 2019",242
hc,eti,Email Transformation Initiative,"Email Transformation Initiative (ETI)
 This will migrate 14,000 HC/PHAC employees from the existing aging email system to the GC Microsoft Outlook
 system. This also includes upgrading approximately 200 e-mail enabled applications to function with the new email service.",3300000,,8555-421-266,"June 9, 2016",137
hc,,Employee Assistance Services 1-800 Database,"This project will develop an information system for managing Health Canada’s Employee Assistance Program (EAP). The program provides counselling & support services to the majority of federal organizations, covering federal public servants, members of the RCMP and Canadian Forces members as well as veterans. EAP extends to immediate family members as well.",8500000,2025-03-31,8530-441-13-505,"April 25, 2022",226
hc,eas-database,Employee Assistance Services Database,"EAS (Employee Assistance Services)·1-soo Database
 This is a new d tabase solution to support delivery of EAS; it will replace 4 aging applications, provide increased
 securitv of information and improve efficiency by reducina manual orocesses.",3800000,2017-03-31,8555-421-266,"June 9, 2016",117
hc,eam,Enterprise Assets Management,"Enterprise Assets Management
 This project will improve physical IT asset management by con!5olidating two aging standalone system!5 into one modernized application, eliminating data entry duplication, and improving life cycle asset and warehouse
 manaaement.",4600000,2018-03-31,8555-421-266,"June 9, 2016",131
hc,eam,Enterprise Assets Management,"Enterprise Assets Management (IP 421)
 Support the management of capital assets, including the design and implementation of revised business processes.",5029040,2021-12-31,8555-421-2460,"May 1, 2019",223
hc,eqms,Enterprise Quality Management System,"Enterprise Quality Management System (eQMS) (IP704)
 ldentifv a forward-lookinq replacement solution for the current unsuooorted OMS.",1294289,2022-09-30,8555-421-2460,"May 1, 2019",241
hc,,Enterprise Quality Management System (eQMS),"Identify a forward-looking replacement solution for the current, unsupported QMS.",1300000,2024-03-31,8530-441-13-505,"April 25, 2022",233
hc,eprs-web,ePRS Secure Web Portal Enhancements,"ePRS Secure Web Portal Enhancements (IP 629)
 This project will create a private registry, providing detailed information and access to registrants, while allowing for the exchange of confidential data and documents between HC and external stakeholders.",1726000,2021-03-31,8555-421-2460,"May 1, 2019",231
hc,eli,Establishment Licensing & Inspection,"Establishment Licensing & Inspection (IP 628)
 Implement an enterprise COTS-based solution for the provision of a primary IT Solution ootion for the establishment licensina and inspection caoabilitv.",9112000,2022-12-31,8555-421-2460,"May 1, 2019",237
hc,fnihb-it-modernization,FNIHB IT Modernization,"FNIHB IT Modernization
 This is an umbrella initiative to replace aging and duplicate systems supporting FNIHB operations with standardized solutions, thereby increasing operational agility and flexibility while reducing overall maintenance costs.",2100000,2018-03-31,8555-421-266,"June 9, 2016",130
hc,fnihb-emr,FNIHB National Electronic Medical Records Project,"FNIHB National Electronic Medical Records Project {EMR)
 This project will support FNIHB regional EMR demonstration projects. These will generate tools, plans, documented policies and successful EMR implementation procedures I methods (e.g. moving information from
 oaoer-based formats to diQital charts).",2400000,2018-03-31,8555-421-266,"June 9, 2016",129
hc,fm,Food Guide Modernization,"Food Modernisation
 This will develop a My Food Guide mobile application, offering Canadians the opportunity to obtain healthy eating information while on the go. In addition, the project will develop a web-based application to receive information from industry which will assist HC in the development of new standards for sodium levels, and other nutrients, for soecific foods.",2300000,2019-03-31,8555-421-266,"June 9, 2016",126
hc,fm,Food Guide Modernization,"Food Modernization (IP 346 A,B,C)
 Develop a repository that will incorporate with HC's food composition database, automate classification of the foods and recipes stored in various nutrient databases into Canadian Food Guide Food Group tiers, and assist researchers in assessing
 whether foods consumed bv Canadians are in line with the Guide.",2355000,2020-03-31,8555-421-2460,"May 1, 2019",221
hc,,Food Submission Management System Renewal (planned),The Food Submission Management Renewal Project aims to modernize the existing system with additional key functionality to support review workflows and reporting as well as improve the sustainablity of the system.,1800000,2025-03-31,8530-441-13-505,"April 25, 2022",244
hc,gcdocs,GCdocs,"GCDOCS
 This will implement an electronic records and document management system to manage information resources (electronic and hard copy). This will allow the consolidation and decommissioning of multiple aging information management systems and databases, reducing information duplication and improving information accuracy.",15100000,2020-03-31,8555-421-266,"June 9, 2016",133
hc,gcdocs,GCdocs,"GCDocs Implementation (IP 448)
 The GCDocs project will implement the GoC standard technology platform to better share information and collaborate across Health Canada (HC) and Public Health Agency of Canada (PHAC), while meeting security and record-keeping directives in a
 cost-effective manner.",18552169,2021-03-31,8555-421-2460,"May 1, 2019",219
hc,,Grants and Contributions System Modernization Solutions replacement (planned),This project seeks to modernize and improve the Grants and contribution system which is key to enabling the increased needs of program delivery.,,2024-03-31,8530-441-13-505,"April 25, 2022",239
hc,hicps,Health Information & Claims Processing Services Renewal,"The Renewal of the Health Information & Claims Processing Services (HICPS)
 This project will select the most appropriate supplier.for a 10-year contract and, thereafter, manage the contract to replace the existing aging system used to process non-insured health benefit claims.",18600000,2020-03-31,8555-421-266,"June 9, 2016",125
hc,icapm,IMSD Capacity and Portfolio Management (iCAPM),"IMSD Capacity and Portfolio Management (iCAPM)
 This project will consolidate the data on HC/PHAC software assets from multiple conflicting data sources into a
 single solution. This will create a single authoritative source of information, allowing for improved efficiency in planning and decision-making, and allow for the retirement of multiple aging systems.",1800000,2016-03-31,8555-421-266,"June 9, 2016",123
hc,pri,IT Enablement of Public Release of Information,"IT Enablement of Public Release of Information (IP 627)
 This project will make clinical information regarding the safety and efficacy of drugs and medical devices available to the oublic.",1961943,2020-03-31,8555-421-2460,"May 1, 2019",230
hc,,Management Reporting System (MRS) replacement (planned),Replacement of the current financial forecasting Management Variance Report (MVR)/Management Reporting System (MRS) tool for both Health Canada (HC) and the Public Health Agency of Canada.,,2025-03-31,8530-441-13-505,"April 25, 2022",240
hc,mdp,Medical Device Program Post-Market Renewal,"Medical Device Program (MOP) Post-Market Renewal (IP 634)
 Modernization of medical device problem, incident, and recall reports collection and assessment by providing a single-window electronic submission interface to
 healthcare institutes.",2978592,2021-12-31,8555-421-2460,"May 1, 2019",235
hc,,Medical Devices Streamlined Review Tracking (planned),This project will replace the exisiting aging Medical Devices System with a modern lifecycle-based system to support tracking of Medical Device meta-data,1800000,2025-03-31,8530-441-13-505,"April 25, 2022",242
